,loss,accuracy,val_loss,val_accuracy
145,0.6458,0.9968,0.4320,0.8596
146,0.1682,0.9968,0.4314,0.7836
147,0.7245,0.7602,0.4314,0.8596
148,0.1682,1.0000,0.4366,0.8830
149,0.7245,1.0000,0.5587,0.8655
150,0.1535,0.7544,0.5948,0.8596
151,0.742,1.0000,0.5241,0.8538
152,0.1535,1.0000,0.5582,0.7953
153,0.7420,0.7251,0.4634,0.7719
154,0.1499,0.9968,0.4650,0.7661
155,0.79,0.9968,0.4892,0.7895
156,0.1499,0.7310,0.6445,0.8830
157,0.7900,1.0000,0.4974,0.8830
158,0.1541,1.0000,0.4644,0.8947
159,0.8421,0.7836,0.3762,0.8947
160,0.1541,0.9984,0.3762,0.8889
161,0.8421,0.9984,0.4942,0.8713
162,0.1476,0.7602,0.4115,0.8363
163,0.6718,1.0000,0.4187,0.8655
164,0.1476,1.0000,0.4237,0.8538
165,0.6718,0.8246,0.4197,0.8596
166,0.1442,1.0000,0.3877,0.8830
167,0.6877,1.0000,0.3937,0.8713
168,0.1442,0.8304,0.5440,0.8830
169,0.6877,0.9984,0.6559,0.8596
170,0.1526,0.9984,0.4603,0.9123
171,0.5935,0.7427,0.5076,0.9006
172,0.1526,1.0000,0.4603,0.9123
173,0.5935,1.0000,0.6607,0.9181
174,0.1419,0.7719,0.5520,0.9123
175,0.6056,0.9984,0.5112,0.8538
176,0.1419,0.9984,0.4902,0.8538
177,0.6056,0.7953,0.4892,0.8538
178,0.1490,1.0000,0.5080,0.9240
179,0.8256,1.0000,0.8014,0.9298
180,0.1490,0.7953,0.8014,0.9123
181,0.8256,1.0000,0.5012,0.8655
182,0.1471,1.0000,0.4981,0.9123
183,0.7599,0.7953,0.5008,0.8655
184,0.1471,0.9953,0.5375,0.8070
185,0.7599,0.9953,0.5127,0.8246
186,0.1445,0.7602,0.7033,0.7661
187,0.6318,1.0000,0.7033,0.8129
188,0.1445,1.0000,0.7351,0.8596
189,0.6318,0.7719,0.7351,0.9357
190,0.1403,1.0000,0.7206,0.9357
191,0.6661,1.0000,0.7206,0.9240
192,0.1403,0.8012,0.6589,0.9532
193,0.6661,1.0000,0.6589,0.9123
194,0.1442,1.0000,0.4904,0.9123
195,0.7659,0.8363,0.4748,0.9123
196,0.1442,1.0000,0.442,0.9123
197,0.7659,1.0000,0.4420,0.9357
198,0.1553,0.8246,0.4618,0.9064
199,0.8016,1.0000,0.4618,0.8947
200,0.1553,0.8187,0.4674,0.8830
201,0.8016,0.9984,0.4995,0.8947
202,0.1393,0.9984,0.6044,0.8947
203,0.7395,0.8655,0.5169,0.9123
204,0.1393,1.0000,0.5786,0.8596
205,0.7395,1.0000,0.5538,0.8947
206,0.1420,0.8480,0.5330,0.8772
207,0.6969,0.9968,0.5296,0.8889
208,0.1420,0.9968,0.4825,0.9064
209,0.6969,0.8480,0.5423,0.9064
210,0.1405,0.9968,0.3729,0.9123
211,0.6413,0.8421,0.3729,0.8947
212,0.1405,0.9984,0.4144,0.9064
213,0.6413,0.9984,0.3942,0.9181
214,0.1427,0.8538,0.3942,0.9123
215,0.6321,1.0000,0.3805,0.9181
216,0.1427,0.8304,0.3805,0.9123
217,0.6321,1.0000,0.3865,0.9006
218,0.1387,0.8363,0.5387,0.9064
219,0.6435,0.9984,0.5096,0.9006
220,0.1512,0.9984,0.5081,0.9006
221,0.5176,0.8713,0.3688,0.8947
222,0.1512,1.0000,0.3688,0.9123
223,0.5176,0.8538,0.3567,0.9064
224,0.1358,0.9953,0.3567,0.9298
225,0.5462,0.8363,0.3737,0.9357
226,0.1358,0.9984,0.3737,0.9357
227,0.5462,0.8363,0.5020,0.9357
228,0.1478,1.0000,0.3211,0.9298
229,0.526,0.8480,0.3211,0.9591
230,0.1478,0.9984,0.4486,0.9474
231,0.5260,0.8538,0.6123,0.9415
232,0.1449,0.9984,0.6187,0.9357
233,0.5887,0.9984,0.7781,0.9532
234,0.1384,0.8655,0.7781,0.9649
235,0.5196,0.9984,0.6297,0.9357
236,0.1384,0.8480,0.4689,0.9415
237,0.5196,0.9984,0.3178,0.9474
238,0.1366,0.8538,0.3178,0.9357
239,0.6390,0.9968,0.3159,0.9415
240,0.1357,0.8596,0.3159,0.9357
241,0.5926,1.0000,0.3301,0.9298
242,0.1394,1.0000,0.3085,0.9474
243,0.5529,0.8772,0.3085,0.9532
244,0.1394,0.9953,0.3689,0.9298
245,0.5529,0.8480,0.3994,0.9474
246,0.1344,0.9984,0.3610,0.9474
247,0.5548,0.9984,0.3660,0.9532
248,0.1394,0.8713,0.3499,0.9591
249,0.6029,1.0000,0.3729,0.9591
250,0.1333,1.0000,0.3890,0.9532
251,0.5621,0.8947,0.4199,0.9064
252,0.1338,1.0000,0.3992,0.9240
253,0.5598,1.0000,0.3983,0.9532
254,0.1291,0.8772,0.3723,0.9532
255,0.5411,1.0000,0.5695,0.9532
256,0.1286,1.0000,0.4663,0.9474
257,0.4986,0.8830,0.5012,0.7778
258,0.1286,1.0000,0.4878,0.8596
259,0.4986,1.0000,0.4231,0.8889
260,0.1407,0.8947,0.4085,0.8830
261,0.5871,1.0000,0.3850,0.9298
262,0.1359,1.0000,0.4578,0.9474
263,0.5612,0.8889,0.4581,0.9532
264,0.1305,1.0000,0.3651,0.9532
265,0.5348,0.8889,0.3955,0.9532
266,0.1251,0.9984,0.4114,0.9532
267,0.4802,0.8480,0.4413,0.9532
268,0.1251,0.9984,0.4384,0.9181
269,0.4802,0.8480,0.4109,0.8830
270,0.1316,1.0000,0.4112,0.8363
271,0.5564,0.8596,0.4070,0.8830
272,0.1450,1.0000,0.4021,0.8363
273,0.4763,0.8538,0.3508,0.9415
274,0.1450,1.0000,0.3108,0.9298
275,0.4763,0.8830,0.3108,0.9649
276,0.1263,0.9984,0.2929,0.9649
277,0.4203,0.8655,0.2929,0.9708
278,0.1263,1.0000,0.2934,0.9474
279,0.4203,0.8655,0.3592,0.9415
280,0.1264,0.9968,0.3637,0.9415
281,0.4608,0.8129,0.3543,0.9708
282,0.1264,1.0000,0.2664,0.9532
283,0.4608,0.8596,0.2664,0.9532
284,0.1211,1.0000,0.2846,0.9532
285,0.4499,0.8655,0.2846,0.9474
286,0.1211,0.9984,0.3467,0.9474
287,0.4499,0.9984,0.3360,0.9474
288,0.1246,0.8889,0.283,0.9532
289,0.432,0.9968,0.2830,0.9532
290,0.1246,0.8538,0.2485,0.9532
291,0.4320,0.9968,0.2485,0.9649
292,0.1249,0.8538,0.3049,0.9591
293,0.4314,1.0000,0.2978,0.9591
294,0.1249,0.8596,0.2898,0.9766
295,0.4314,1.0000,0.3030,0.9766
296,0.1230,0.8772,0.2749,0.9474
297,0.4366,1.0000,0.2749,0.9532
298,0.1235,0.8713,0.3281,0.9708
299,0.5587,1.0000,0.3287,0.9591
300,0.1249,0.8772,0.3038,0.9591
301,0.5948,1.0000,0.2976,0.9591
302,0.1190,0.8713,0.3455,0.9649
303,0.5241,0.9953,0.3164,0.9649
304,0.1221,0.8480,0.3096,0.9591
305,0.5582,0.9968,0.2993,0.9591
306,0.1207,0.8012,0.2642,0.9591
307,0.4634,0.9984,0.2642,0.9591
308,0.1264,0.8772,0.2692,0.9591
309,0.4650,1.0000,0.3036,0.9591
310,0.1209,0.8655,0.4276,0.9532
311,0.4892,1.0000,0.3826,0.9532
312,0.1293,0.8830,0.2873,0.9591
313,0.6445,0.9968,0.2784,0.9591
314,0.1177,0.8246,0.2764,0.9591
315,0.4974,1.0000,0.2986,0.9649
316,0.1189,0.8480,0.8807,0.9591
317,0.4644,1.0000,0.8807,0.9415
318,0.1218,0.8596,0.5673,0.9415
319,0.3762,1.0000,0.4800,0.9649
320,0.1218,0.8596,0.4633,0.9357
321,0.3762,0.9968,0.4057,0.9357
322,0.1229,0.8713,0.3767,0.9357
323,0.4942,1.0000,0.3736,0.9474
324,0.1281,0.8596,0.3513,0.9357
325,0.4115,0.9969,0.3398,0.9415
326,0.1167,0.9969,0.3345,0.9240
327,0.4187,0.7836,0.3357,0.9240
328,0.1125,1.0000,0.4287,0.9298
329,0.4237,0.8596,0.4951,0.9708
330,0.1166,1.0000,0.6594,0.9708
331,0.4197,0.8830,0.4905,0.9708
332,0.1181,0.9984,0.6533,0.9708
333,0.3877,0.8655,0.3307,0.9708
334,0.1124,1.0000,0.3660,0.9708
335,0.3937,0.8596,0.2838,0.9708
336,0.1293,1.0000,0.2838,0.9708
337,0.5440,0.8538,0.2961,0.9708
338,0.1234,1.0000,0.2961,0.9708
339,0.6559,1.0000,0.2732,0.9766
340,0.1133,0.7953,0.2732,0.9415
341,0.4603,0.9937,0.2897,0.9649
342,0.1124,0.9937,0.2886,0.9649
343,0.5076,0.7719,0.2900,0.9415
344,0.1128,0.9984,0.2393,0.9415
345,0.4603,0.9984,0.2393,0.9532
346,0.1177,0.7661,0.2695,0.9181
347,0.6607,1.0000,0.2531,0.9591
348,0.1183,1.0000,0.2531,0.9532
349,0.5520,0.7895,0.2565,0.9532
