,loss,accuracy,val_loss,val_accuracy
1,1.7096,0.2250,1.6921,0.2982
2,1.6951,0.3202,1.6796,0.2982
3,1.6921,0.2982,1.6704,0.2982
4,1.6620,0.3707,1.6634,0.2982
5,1.6796,0.2982,1.6577,0.2982
6,1.6289,0.4338,1.6517,0.2982
7,1.6704,0.2982,1.6451,0.2982
8,1.5883,0.5426,1.6378,0.2982
9,1.6634,0.2982,1.6309,0.2982
10,1.5359,0.5852,1.6227,0.2982
11,1.6577,0.2982,1.6150,0.2982
12,1.4665,0.6057,1.6057,0.2982
13,1.6517,0.2982,1.5992,0.3041
14,1.3854,0.6151,1.5904,0.3158
15,1.6451,0.2982,1.5784,0.3158
16,1.2974,0.6104,1.5669,0.3158
17,1.6378,0.2982,1.5552,0.3275
18,1.2126,0.6372,1.5435,0.3567
19,1.6309,0.2982,1.5373,0.4035
20,1.1271,0.6483,1.5263,0.4327
21,1.6227,0.2982,1.5194,0.4269
22,1.0472,0.6656,1.5020,0.4620
23,1.6150,0.2982,1.4971,0.4561
24,1.0023,0.6593,1.4898,0.4503
25,1.6057,0.2982,1.4672,0.4854
26,0.9112,0.7098,1.4504,0.4795
27,1.5992,0.3041,1.4257,0.4854
28,0.8616,0.7156,1.3957,0.5088
29,1.5904,0.3158,1.3628,0.5789
30,0.7909,0.7461,1.3295,0.5906
31,1.5784,0.3158,1.3219,0.5439
32,0.7329,0.7792,1.3158,0.4912
33,1.5669,0.3158,1.3357,0.4211
34,0.7092,0.8091,1.3092,0.4386
35,1.5552,0.3275,1.3177,0.4269
36,0.6873,0.8123,1.2842,0.4503
37,1.5435,0.3567,1.3194,0.4211
38,0.6212,0.8533,1.3119,0.4035
39,1.5373,0.4035,1.3446,0.3918
40,0.5875,0.8533,1.2657,0.4444
41,1.5263,0.4327,1.3087,0.4152
42,0.5713,0.8675,1.2869,0.4327
43,1.5194,0.4269,1.2978,0.4269
44,0.5373,0.8864,1.2650,0.4444
45,1.5020,0.4620,1.2479,0.4386
46,0.5031,0.8943,1.1625,0.5263
47,1.4971,0.4561,1.3114,0.4912
48,0.4700,0.8943,1.3250,0.4561
49,1.4898,0.4503,1.2972,0.4854
50,0.4522,0.9117,1.2456,0.5029
51,1.4672,0.4854,1.2581,0.4795
52,0.4541,0.9227,1.2786,0.4971
53,1.4504,0.4795,1.3458,0.4971
54,0.4125,0.9312,1.2882,0.5088
55,1.4257,0.4854,1.2662,0.5263
56,0.4305,0.9322,1.0093,0.6199
57,1.3957,0.5088,0.9378,0.6608
58,0.3958,0.9432,1.1649,0.6023
59,1.3628,0.5789,1.0492,0.6433
60,0.3747,0.9448,0.9346,0.6842
61,1.3295,0.5906,1.0752,0.6550
62,0.3560,0.9590,1.0280,0.6608
63,1.3219,0.5439,1.0278,0.6550
64,0.3513,0.9732,0.9596,0.7018
65,1.3158,0.4912,0.8393,0.7193
66,0.3591,0.9574,0.8757,0.7251
67,1.3357,0.4211,0.8598,0.7076
68,0.3358,0.9716,0.9313,0.6901
69,1.3092,0.4386,0.8776,0.7310
70,0.3377,0.9700,0.8170,0.7251
71,1.3177,0.4269,0.8524,0.7251
72,0.3064,0.9811,0.7936,0.7544
73,1.2842,0.4503,0.8565,0.7193
74,0.3247,0.9748,0.5962,0.8129
75,1.3194,0.4211,0.5962,0.7485
76,0.2811,0.9842,0.8211,0.7251
77,1.3119,0.4035,0.8211,0.6667
78,0.2806,0.9874,0.8216,0.6784
79,1.3446,0.3918,0.8216,0.5965
80,0.2708,0.9842,0.931,0.6257
81,1.2657,0.4444,0.9310,0.7076
82,0.2489,0.9890,0.9184,0.6901
83,1.3087,0.4152,0.9184,0.7193
84,0.2507,0.9890,1.152,0.7427
85,1.2869,0.4327,1.1520,0.8129
86,0.2434,0.9858,1.1052,0.7661
87,1.2978,0.4269,1.1052,0.8129
88,0.2435,0.9811,0.8949,0.8129
89,1.2650,0.4444,0.8949,0.8304
90,0.2133,0.9921,0.8805,0.8070
91,1.2479,0.4386,0.8805,0.8187
92,0.2113,0.9968,0.8642,0.8596
93,1.1625,0.5263,0.8642,0.8655
94,0.2267,0.9842,0.8134,0.8947
95,1.3114,0.4912,0.8134,0.8713
96,0.2204,0.9905,0.6882,0.8889
97,1.3250,0.4561,0.6882,0.9123
98,0.1991,0.9968,0.7902,0.9123
99,1.2972,0.4854,0.7902,0.9123
100,0.1939,0.9968,0.6552,0.9123
101,1.2456,0.5029,0.6552,0.9181
102,0.1986,0.9921,0.695,0.9064
103,1.2581,0.4795,0.6950,0.9357
104,0.2056,0.9874,0.5864,0.9181
105,1.2786,0.4971,0.5864,0.9240
106,0.2096,0.9905,0.633,0.9240
107,1.3458,0.4971,0.6330,0.9357
108,0.1919,0.9937,0.6306,0.9298
109,1.2882,0.5088,0.6306,0.9181
110,0.1891,0.9921,0.5172,0.9532
111,1.2662,0.5263,0.5172,0.9357
112,0.1886,0.9937,0.4911,0.9240
113,1.0093,0.6199,0.4911,0.9006
114,0.1747,0.9984,0.4517,0.9181
115,0.9378,0.6608,0.4517,0.9123
116,0.1736,0.9953,0.4835,0.9240
117,1.1649,0.6023,0.4835,0.9181
118,0.1770,0.9968,0.4588,0.9123
119,1.0492,0.6433,0.4588,0.9181
120,0.1750,0.9968,0.4097,0.9123
121,0.9346,0.6842,0.4097,0.9123
122,0.1706,0.9984,0.3983,0.9298
123,1.0752,0.6550,0.3983,0.9357
124,0.1701,0.9984,0.4348,0.9357
125,1.0280,0.6608,0.4348,0.9357
126,0.1786,0.9937,0.3966,0.9357
127,1.0278,0.6550,0.3966,0.9298
128,0.1688,0.9984,0.3702,0.9298
129,0.9596,0.7018,0.3702,0.9298
130,0.1588,0.9968,0.3973,0.9298
131,0.8393,0.7193,0.3973,0.9357
132,0.1570,1.0000,0.3674,0.9415
133,0.8757,0.7251,0.3674,0.9474
134,0.1588,0.9984,0.3384,0.9298
135,0.8598,0.7076,0.3384,0.9474
136,0.1623,0.9984,0.3254,0.9298
137,0.9313,0.6901,0.3254,0.9357
138,0.1627,0.9968,0.3258,0.9415
139,0.8776,0.7310,0.3146,0.9357
140,0.1568,1.0000,0.3146,0.9298
141,0.8170,0.7251,0.3082,0.9357
142,0.1497,1.0000,0.3082,0.9357
143,0.8524,0.7251,0.3189,0.9357
144,0.1537,0.9968,0.2644,0.9357
145,0.7936,0.7544,0.2644,0.9357
146,0.1528,0.9984,0.2851,0.9240
147,0.8565,0.7193,0.2851,0.9240
148,0.1533,0.9984,0.3167,0.9298
149,0.5962,0.9984,0.3688,0.9298
150,0.1533,0.8129,0.3696,0.9474
151,0.5962,0.9984,0.3894,0.9474
152,0.1583,0.9984,0.3635,0.9474
153,0.8211,0.7485,0.3980,0.9415
154,0.1583,1.0000,0.3836,0.9474
155,0.8211,1.0000,0.3940,0.9474
156,0.1428,0.7251,0.3966,0.9532
157,0.8216,0.9905,0.3957,0.9591
158,0.1428,0.9905,0.3519,0.9532
159,0.8216,0.6667,0.3323,0.9649
160,0.1585,0.9984,0.3267,0.9766
161,0.931,0.9984,0.3185,0.9649
162,0.1585,0.6784,0.3471,0.9591
163,0.9310,0.9984,0.3581,0.9357
164,0.1473,0.9984,0.3938,0.9591
165,0.9184,0.5965,0.3980,0.9591
166,0.1473,0.9984,0.3905,0.9649
167,0.9184,0.9984,0.3668,0.9649
168,0.1403,0.6257,0.2891,0.9649
169,1.152,1.0000,0.276,0.9649
170,0.1403,1.0000,0.2760,0.9649
171,1.1520,0.7076,0.3202,0.9591
172,0.1438,0.9984,0.2793,0.9649
173,1.1052,0.9984,0.3399,0.9649
174,0.1438,0.6901,0.2934,0.9591
175,1.1052,0.9953,0.2876,0.9591
176,0.1410,0.9953,0.3098,0.9591
177,0.8949,0.7193,0.3247,0.9591
178,0.1410,0.9984,0.3299,0.9532
179,0.8949,0.9984,0.3092,0.9649
180,0.1412,0.7427,0.3162,0.9649
181,0.8805,1.0000,0.3122,0.9649
182,0.1412,1.0000,0.3284,0.9532
183,0.8805,0.8129,0.3705,0.9357
184,0.1490,0.9937,0.3647,0.9415
185,0.8642,0.9937,0.3379,0.9474
186,0.1490,0.7661,0.3322,0.9474
187,0.8642,1.0000,0.3092,0.9415
188,0.1414,1.0000,0.3002,0.9415
189,0.8134,0.8129,0.2878,0.9415
190,0.1414,1.0000,0.2845,0.9415
191,0.8134,1.0000,0.2707,0.9532
192,0.1350,0.8129,0.2707,0.9415
193,0.6882,0.9984,0.2723,0.9415
194,0.1350,0.9984,0.2286,0.9357
195,0.6882,0.8304,0.2286,0.9298
196,0.1599,0.9968,0.2191,0.9474
